LGA_code,LGA_name,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
26670,Towong (S),32.43,8.7,15.63,25,21.43,16.67,11.63,14.71,18.92
26700,Wangaratta (RC),19.62,15.82,13.92,10.36,20.74,18.18,19.4,18.22,18.75
26730,Warrnambool (C),18.45,19.42,18,15.61,15.77,16.72,16.14,17.68,17.76
26810,Wellington (S),14.1,12,16.25,15.91,14.35,13.78,20.08,20.26,24.29
26890,West Wimmera (S),15.63,12.5,6.25,15.38,10.71,21.74,20,13.04,13.79
26980,Whitehorse (C),14.34,13.41,14.25,14.99,13.57,15.27,16.54,16.15,16.62
27070,Whittlesea (C),16.82,16.09,16.51,17.82,16.59,17.75,17.27,16.53,18.09
27170,Wodonga (RC),24.89,20.46,22.52,19.58,18.02,21.94,20.55,24.72,23.36
27260,Wyndham (C),19.23,18.37,17.01,18.43,17.85,22.11,17.81,20.77,21.48
27350,Yarra (C),19.69,19.04,18.78,17.74,15.65,19.21,18.42,19.71,21.67
27450,Yarra Ranges (S),16.47,20.62,15.98,16.79,16.19,18.46,18.34,21.09,20.95
27630,Yarriambiack (S),10.2,19.15,26.92,9.62,19.05,18.75,21.43,14,6.52
29399,Unincorporated Vic,-,-,-,-,-,-,-,-,-
30300,Balonne (S),4.55,16.67,24.14,22.73,26.92,18.18,22.22,31.25,21.74
30370,Banana (S),19.48,25,25.4,24.07,25.53,22.41,21.82,25.71,16.07
30410,Barcaldine (R),23.81,21.05,15.38,20,10,12.5,52.94,26.67,21.43
30450,Barcoo (S),-,-,-,-,-,-,-,-,-
30760,Blackall-Tambo (R),0,20,7.69,26.67,0,25,55.56,28.57,25
30900,Boulia (S),-,-,-,-,-,-,-,-,-
31000,Brisbane (C),20.96,21.55,21.54,19.15,19.97,21.81,20.04,19.95,21.74
31750,Bulloo (S),-,-,-,-,-,-,-,-,-
31820,Bundaberg (R),25.61,29.23,28.05,25.46,30.58,25.08,28.51,31.47,26.3
31900,Burdekin (S),15.31,14.63,7.02,10.96,12.5,21.18,19.12,18.33,17.65
32080,Cairns (R),28.02,30.2,30.24,24.18,25.98,27.87,27.07,30.91,24.57
32250,Carpentaria (S),-,-,-,28.57,-,-,33.33,-,14.29
32260,Cassowary Coast (R),23.46,26.83,24.2,19.61,18.92,20.86,21.2,23.53,28.44
32270,Central Highlands (R),30.46,24.55,30.77,26.79,28.83,35.04,23.85,30.89,19.84
32310,Charters Towers (R),26.47,15.38,16.67,20.93,20.83,35.29,24.44,40.82,25
32450,Cloncurry (S),40,25,10,36.36,50,30,42.86,42.86,23.53
32500,Cook (S),50,20,0,25,33.33,-,28.57,11.11,20
32750,Diamantina (S),-,-,-,-,-,-,-,-,-
32770,Doomadgee (S),-,-,-,-,-,-,-,-,66.67
32810,Douglas (S),30.61,32.61,33.33,23.68,23.91,24.24,36.84,28.13,26.23
33200,Flinders (S),25,20,37.5,50,50,14.29,44.44,37.5,42.86
33220,Fraser Coast (R),26.23,25.52,23.76,25,24.4,23.7,21.42,25.16,26.63
33360,Gladstone (R),30.29,30.35,25.7,23.94,25.33,27.42,27.79,24.36,29.26
33430,Gold Coast (C),20.95,21.76,22.65,20.53,21.63,22.41,21.48,21.32,23.12
33610,Goondiwindi (R),18.42,17.78,21.62,32.65,18,20.83,24.49,26.76,20.37
33620,Gympie (R),26.46,23.25,24.2,16.67,23.64,24.88,24.89,19.31,25.87
33800,Hinchinbrook (S),18.31,18.18,19.74,14.75,18.67,16.88,23.19,16.42,18.84
33960,Ipswich (C),25.37,24.05,27.29,23.97,23.91,25.85,23.79,24.42,26.84
33980,Isaac (R),34.55,22.97,33.33,38.03,22.78,23.75,32.39,30.95,31.11
34530,Livingstone (S),25.27,28.93,30.97,31.39,26.19,22.16,25.35,24.39,23.83
34580,Lockyer Valley (R),14.29,18.12,21.37,18.71,19.87,17.76,17.47,26.92,25.76
34590,Logan (C),23.51,21.95,22.89,22.54,21,22.56,22.5,24.43,23.64
34710,Longreach (R),40.74,31.82,21.05,26.32,8.33,46.67,22.73,25.93,30.43
34770,Mackay (R),27.02,25.71,25.69,25,24.83,22.09,24.97,24.37,22.77
34800,McKinlay (S),-,33.33,-,-,-,-,40,20,-
34860,Maranoa (R),20.29,25,22.95,18.37,37.04,29.82,39.62,16.13,36.99
34880,Mareeba (S),18.31,15.71,22.41,19.72,21.18,24.44,27,25.88,26.67
35010,Moreton Bay (R),23.74,24.6,25.01,23.32,20.53,22.14,23.18,23.72,25.55
35300,Mount Isa (C),30.95,28.99,26.92,26.19,21.84,31.58,31.11,23.16,25.42
35600,Murweh (S),17.86,17.24,16,34.78,29.63,16.67,28,28,25
35740,Noosa (S),26.52,32.71,24.54,26.4,24.72,20.87,33.09,25.86,27.4
35760,North Burnett (R),20.41,16.67,23.53,8,28.13,13.16,8.11,16.67,17.39
35780,Northern Peninsula Area (R),45.45,41.67,-,57.14,-,16.67,-,42.86,-
35800,Paroo (S),25,18.18,14.29,14.29,9.09,37.5,0,-,12.5
36150,Quilpie (S),-,50,20,0,28.57,-,-,20,20
36250,Redland (C),21.4,21.62,24.62,20.97,19.45,21.95,21.07,20.87,25.13
36300,Richmond (S),20,20,-,-,-,-,-,40,-
36370,Rockhampton (R),29.11,26.34,29.38,26.29,29.25,24.59,26.99,26.92,23.97
36510,Scenic Rim (R),18.5,22.8,24.66,26.61,21.7,21.16,27.69,24.09,26.32
36580,Somerset (R),19.44,20,20.55,16.42,22.86,37.04,22.73,28.21,33.33
36630,South Burnett (R),24.37,22.02,22.48,28.95,20.51,26.67,21.49,24.71,25.97
36660,Southern Downs (R),20.13,22.45,18.18,15.58,19.65,20.11,23.11,23.04,28.7
36720,Sunshine Coast (R),27.51,28.34,27.76,23.79,23.89,25.67,24.96,26.83,26.76
36820,Tablelands (R),22.12,17.32,25.37,26.55,17.27,20.17,26.05,28.46,22.08
36910,Toowoomba (R),21.07,23.55,25.78,19.78,21.78,23.77,24.02,23.85,27.04
36960,Torres Strait Island (R),34.38,48.48,53.13,44.19,47.5,45.83,67.65,53.66,41.18
37010,Townsville (C),27.37,28.05,26.33,26.36,23.27,24.12,23.47,26.57,25.36
37300,Weipa (T),30,35.29,44.44,28.57,18.75,16.67,50,20,10
37310,Western Downs (R),21.74,21.9,15.33,18.66,18.54,18.71,20.67,23.72,27.27
37340,Whitsunday (R),30.83,20.95,32.18,21.74,25.71,32.12,25.21,27.54,23.28
37400,Winton (S),12.5,-,16.67,20,14.29,33.33,33.33,25,14.29
37550,Woorabinda (S),27.27,60,-,80,-,-,-,-,-
40070,Adelaide (C),19.19,20.51,20.15,19.93,18.43,20.96,23.11,22.41,21.43
40120,Adelaide Hills (DC),19.2,19.12,17.92,22.95,17.91,18.22,19.22,23.88,21.62
40220,Alexandrina (DC),19.72,21.35,22.34,12.99,23,15.52,22.05,16.03,22.14
40250,Anangu Pitjantjatjara (AC),-,-,-,-,-,-,-,-,-
40310,Barossa (DC),21.31,17.97,20.33,16.39,19.71,18.8,18.88,15.76,21.35
40430,Barunga West (DC),25,11.11,14.29,22.22,14.29,0,0,0,20
40520,Berri and Barmera (DC),12.5,13.33,23.08,21.15,14.29,9.38,22.81,21.31,19.3
40700,Burnside (C),17.37,15.19,16.71,15.24,18.77,18.69,17.61,18.18,18.73
40910,Campbelltown (C),19.58,17.17,15.36,18.1,16.48,18.22,20.52,19.78,16.39
41010,Ceduna (DC),0,20,29.41,10,23.08,44.44,25,40,37.5
